,Provincias,Ramas de actividad,Magnitud,periodo,Total
64,31 Navarra,TOTAL PERSONAS,Empleo total (miles de personas),2021,"302,7"
65,31 Navarra,TOTAL PERSONAS,Empleo total (miles de personas),2019,"315,5"
66,32 Ourense,TOTAL PERSONAS,Empleo total (miles de personas),2021,"110,8"
67,32 Ourense,TOTAL PERSONAS,Empleo total (miles de personas),2019,"113,5"
68,34 Palencia,TOTAL PERSONAS,Empleo total (miles de personas),2021,"65,7"
69,34 Palencia,TOTAL PERSONAS,Empleo total (miles de personas),2019,"69,2"
70,"35 Palmas, Las",TOTAL PERSONAS,Empleo total (miles de personas),2021,"422,2"
71,"35 Palmas, Las",TOTAL PERSONAS,Empleo total (miles de personas),2019,"440,5"
72,36 Pontevedra,TOTAL PERSONAS,Empleo total (miles de personas),2021,"371,7"
73,36 Pontevedra,TOTAL PERSONAS,Empleo total (miles de personas),2019,"383,3"
74,"26 Rioja, La",TOTAL PERSONAS,Empleo total (miles de personas),2021,"138,2"
75,"26 Rioja, La",TOTAL PERSONAS,Empleo total (miles de personas),2019,"140,6"
76,37 Salamanca,TOTAL PERSONAS,Empleo total (miles de personas),2021,"129,4"
77,37 Salamanca,TOTAL PERSONAS,Empleo total (miles de personas),2019,"133,0"
78,38 Santa Cruz de Tenerife,TOTAL PERSONAS,Empleo total (miles de personas),2021,"386,7"
79,38 Santa Cruz de Tenerife,TOTAL PERSONAS,Empleo total (miles de personas),2019,"416,7"
80,40 Segovia,TOTAL PERSONAS,Empleo total (miles de personas),2021,"64,5"
81,40 Segovia,TOTAL PERSONAS,Empleo total (miles de personas),2019,"65,3"
82,41 Sevilla,TOTAL PERSONAS,Empleo total (miles de personas),2021,"726,8"
83,41 Sevilla,TOTAL PERSONAS,Empleo total (miles de personas),2019,"736,4"
84,42 Soria,TOTAL PERSONAS,Empleo total (miles de personas),2021,"41,0"
85,42 Soria,TOTAL PERSONAS,Empleo total (miles de personas),2019,"41,4"
86,43 Tarragona,TOTAL PERSONAS,Empleo total (miles de personas),2021,"324,9"
87,43 Tarragona,TOTAL PERSONAS,Empleo total (miles de personas),2019,"337,7"
88,44 Teruel,TOTAL PERSONAS,Empleo total (miles de personas),2021,"56,7"
89,44 Teruel,TOTAL PERSONAS,Empleo total (miles de personas),2019,"57,3"
90,45 Toledo,TOTAL PERSONAS,Empleo total (miles de personas),2021,"234,5"
91,45 Toledo,TOTAL PERSONAS,Empleo total (miles de personas),2019,"237,1"
92,46 Valencia/València,TOTAL PERSONAS,Empleo total (miles de personas),2021,"1038,1"
93,46 Valencia/València,TOTAL PERSONAS,Empleo total (miles de personas),2019,"1056,2"
