,Provincias,Ramas de actividad,periodo,Total
119,"07 Balears, Illes",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,33935302
120,08 Barcelona,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,173721885
121,08 Barcelona,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,179195294
122,48 Bizkaia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,35446900
123,48 Bizkaia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,36767806
124,09 Burgos,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,10276704
125,09 Burgos,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,10596493
126,10 Cáceres,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,7926526
127,10 Cáceres,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,7988357
128,11 Cádiz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,22635742
129,11 Cádiz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,23153892
130,39 Cantabria,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,14022067
131,39 Cantabria,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,14180759
132,12 Castellón/Castelló,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,16147043
133,12 Castellón/Castelló,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,16082541
134,13 Ciudad Real,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,10832838
135,13 Ciudad Real,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,10769403
136,14 Córdoba,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,14616131
137,14 Córdoba,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,14121822
138,"15 Coruña, A",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,27347965
139,"15 Coruña, A",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,27718066
140,16 Cuenca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,4594001
141,16 Cuenca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,4515520
142,20 Gipuzkoa,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,23839000
143,20 Gipuzkoa,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,24493773
144,17 Girona,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,21355174
145,17 Girona,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,21828320
146,18 Granada,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,17140505
147,18 Granada,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,17383998
148,19 Guadalajara,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,5502747
149,19 Guadalajara,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,5465337
150,21 Huelva,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,10763135
151,21 Huelva,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,10544112
152,22 Huesca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,6802388
153,22 Huesca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,6499251
154,23 Jaén,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,11754569
155,23 Jaén,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,11170612
156,24 León,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,10224642
157,24 León,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,10093250
158,25 Lleida,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,12558913
159,25 Lleida,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,12641158
160,27 Lugo,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,7395362
161,27 Lugo,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,7763915
162,28 Madrid,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,237540292
163,28 Madrid,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,242093235
164,29 Málaga,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,30776021
165,29 Málaga,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,32202624
166,30 Murcia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,32719230
167,30 Murcia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,32319250
168,31 Navarra,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,20518471
